band,sources,diagnostic
CH2920,Jung2018 · Asensio2009,True
CH2850,Jung2018 · Asensio2009,True
CH2950,Jung2018,True
b1472,Jung2018,True
b1462,Jung2018,True
b730,Jung2018,True
b717,Jung2018,True
b1375,Jung2018,True
b1450,Jung2018,True
b998,Jung2018 · Anshari2025,True
b973,Jung2018 · Anshari2025,True
b840,Jung2018 · Anshari2025,True
b3025,Jung2018 · Verleye2001,True
b757,Jung2018,True
b698,Jung2018,True
b1715,Jung2018 · Almond2020,True
b1240,Jung2018,True
b1090,Jung2018,True
NH3300,Jung2018 · Rotter1992,True
amideI,Rotter1992,True
amideII,Rotter1992,True
CN2237,Jung2018 · Coates2000,True
CCl,Jung2018 · Beltran1997,True
b1250,Beltran1997,True
CHdef1426,Beltran1997,True
CHwag1330,Beltran1997,True
CF1180,Cai2017,True
CF1402,Cai2017,True
CF876,Cai2017,True
carb1420,Vagenas2003,True
carb875,Vagenas2003,True
carb712,Vagenas2003,True
arag855,Vagenas2003,True
SiO,Ellerbrock2024,True
cellCO,Oh2005,True
OH3400,general,False
water1640,general,False
broadOH,general,False
