class,band_cm1,key,library_assignment,n_sources,sources,max_delta,lit_assignment,grade,pending
polyolefin_PP,252,,[] -,1,"Nava2021(252, +0)",0.0,,A,
polyolefin_PP,321,,[] -,1,"Nava2021(321, +0)",0.0,,A,
polyolefin_PP,398,Y,[bold and Boke] skeletal deformation (Nava bold = strongest) - collides with weathered LDPE 400 and anatase 399 within 1-2 cm-1,3,"Lenz2015(398, +0); Nava2021(398, +0); Boke2022(399, -1)",1.0,,A,
polyolefin_PP,458,,[] -,1,"Nava2021(458, +0)",0.0,,A,
polyolefin_PP,530,,[] -,1,"Nava2021(530, +0)",0.0,,A,
polyolefin_PP,809,Y,[bold and Boke] C-C / CH2 rock (specific to PP; absent in PE),4,"Phan2022(809, +0); Lenz2015(809, +0); Nava2021(809, +0); Boke2022(810, -1)",1.0,"rho(CH2) + nu(C-C, C-CH3) [Nava2021 p.1349]; CH/CH2 deformation [Boke2022]",A,
polyolefin_PP,841,Y,[bold and Boke] C-C,4,"Phan2022(842, -1); Lenz2015(841, +0); Nava2021(841, +0); Boke2022(841, +0)",1.0,"rho(CH2, CH3) + nu(C-C, C-CH3) [Nava2021 p.1349]",A,
polyolefin_PP,900,,[] -,1,"Nava2021(900, +0)",0.0,,A,
polyolefin_PP,941,,[] -,1,"Nava2021(941, +0)",0.0,,A,
polyolefin_PP,973,Y,[ and Boke] CH3 rock,3,"Phan2022(973, +0); Nava2021(973, +0); Boke2022(974, -1)",1.0,,A,
polyolefin_PP,998,Y,[ and Boke] CH3 rock (helical),4,"Phan2022(998, +0); Lenz2015(998, +0); Nava2021(998, +0); Boke2022(999, -1)",1.0,CH3 deformation [Boke2022 Fig.2b 999]; listed in Table II [Nava2021],A,
polyolefin_PP,1040,Y,[bold] -,1,"Nava2021(1040, +0)",0.0,,A,
polyolefin_PP,1102,,[] -,1,"Nava2021(1102, +0)",0.0,,A,
polyolefin_PP,1152,Y,[bold and Boke] C-C + C-CH3,4,"Phan2022(1152, +0); Lenz2015(1153, -1); Nava2021(1152, +0); Boke2022(1153, -1)",1.0,"nu(C-C, C-CH3) + CH bend + CH3 rock [Nava2021 p.1349]; CC stretch [Boke2022 1153]",A,
polyolefin_PP,1167,,[ and Boke] C-C  [sh] shoulder - risk of a false negative in peak detection,3,"Phan2022(1167, +0); Nava2021(1167, +0); Boke2022(1168, -1)",1.0,,A,
polyolefin_PP,1219,,[] -,1,"Nava2021(1219, +0)",0.0,,A,
polyolefin_PP,1257,,[] -,1,"Nava2021(1257, +0)",0.0,,A,
polyolefin_PP,1296,,[] -,1,"Nava2021(1296, +0)",0.0,,A,
polyolefin_PP,1306,,[] -,1,"Nava2021(1306, +0)",0.0,,A,
polyolefin_PP,1330,Y,[bold and Boke] CH bend,3,"Lenz2015(1330, +0); Nava2021(1330, +0); Boke2022(1330, +0)",0.0,,A,
polyolefin_PP,1360,,[] -,1,"Nava2021(1360, +0)",0.0,,A,
polyolefin_PP,1371,,[ and Boke] -  [sh] shoulder - risk of a false negative in peak detection,2,"Nava2021(1371, +0); Boke2022(1371, +0)",0.0,,A,
polyolefin_PP,1435,,[] -,1,"Nava2021(1435, +0)",0.0,,A,
polyolefin_PP,1458,Y,[bold and Boke] CH2 / CH3 bend,4,"Phan2022(1460, -2); Lenz2015(1459, -1); Nava2021(1458, +0); Boke2022(1460, -2)",2.0,CH3 asymmetric bend + CH2 bend [Nava2021 p.1349]; methyl related [Boke2022 1460],A,
polyolefin_PP,2840,,[] -,1,"Nava2021(2840, +0)",0.0,,A,
polyolefin_PP,2871,,[] -,1,"Nava2021(2871, +0)",0.0,,A,
polyolefin_PP,2883,Y,[bold] CH stretch,2,"Lenz2015(2883, +0); Nava2021(2883, +0)",0.0,,A,
polyolefin_PP,2905,,[] -,2,"Lenz2015(2905, +0); Nava2021(2905, +0)",0.0,,A,
polyolefin_PP,2920,,[] -,1,"Nava2021(2920, +0)",0.0,,A,
polyolefin_PP,2952,,[] CH3 asym stretch,2,"Lenz2015(2953, -1); Nava2021(2952, +0)",1.0,,A,
polyolefin_PP,830,,C-C stretch + CH3 rock - melt-like amorphous phase [Phan2022 Table 3],1,"Phan2022(830, +0)",0.0,,A,
polyolefin_PE,1062,Y,[ and Boke] C-C asym stretch (crystalline),4,"Phan2022(1063, -1); Lenz2015(1063, -1); Nava2021(1062, +0); Boke2022(1063, -1)",1.0,nu_as(C-C) asymmetric stretch [Nava2021 p.1348],A,
polyolefin_PE,1130,Y,[ and Boke] C-C sym stretch (crystalline),4,"Phan2022(1129, +1); Lenz2015(1130, +0); Nava2021(1130, +0); Boke2022(1129, +1)",1.0,nu_s(C-C) symmetric stretch [Nava2021 p.1348],A,
polyolefin_PE,1170,,[] CH2 rock,1,"Nava2021(1170, +0)",0.0,,A,
polyolefin_PE,1295,Y,[ and Boke] CH2 twist,4,"Phan2022(1296, -1); Lenz2015(1296, -1); Nava2021(1295, +0); Boke2022(1295, +0)",1.0,tau(CH2) twisting [Nava2021 p.1348]; CH2 deformation [Boke2022 Fig.2a],A,
polyolefin_PE,1417,,[] CH2 bend (crystallinity marker),3,"Phan2022(1418, -1); Lenz2015(1418, -1); Nava2021(1417, +0)",1.0,,A,
polyolefin_PE,1440,Y,[ and Boke] CH2 bend,4,"Phan2022(1440, +0); Lenz2015(1441, -1); Nava2021(1440, +0); Boke2022(1441, -1)",1.0,delta(CH2) bending [Nava2021 Table II; Boke2022 1441],A,
polyolefin_PE,1460,,[] -,3,"Phan2022(1462, -2); Lenz2015(1463, -3); Nava2021(1460, +0)",3.0,,A,
polyolefin_PE,2850,Y,[bold] sym CH2,3,"Phan2022(2850, +0); Lenz2015(2849, +1); Nava2021(2850, +0)",1.0,,A,
polyolefin_PE,2883,Y,[bold] asym CH2,2,"Phan2022(2884, -1); Nava2021(2883, +0)",1.0,,A,
polyolefin_PE,1080,,C-C amorphous halo [Phan2022: 1075 = amorphous phase],1,"Phan2022(1075, +5)",5.0,,A,
polystyrene,621,Y,[ and Boke] ring,2,"Nava2021(621, +0); Boke2022(621, +0)",0.0,,A,
polystyrene,795,Y,[ and Boke] ring,2,"Nava2021(795, +0); Boke2022(795, +0)",0.0,,A,
polystyrene,1001,Y,[bold and Boke] ring breathing (very strong),2,"Nava2021(1001, +0); Boke2022(1002, -1)",1.0,aromatic ring breathing [Nava2021 p.1349; Boke2022 1002 symmetric ring breathing],A,
polystyrene,1031,Y,[ and Boke] CH in-plane,2,"Nava2021(1031, +0); Boke2022(1032, -1)",1.0,CH in-plane deformation [Nava2021; Boke2022 1032],A,
polystyrene,1155,,[] C-C,1,"Nava2021(1155, +0)",0.0,,A,
polystyrene,1450,,[] CH2,1,"Nava2021(1450, +0)",0.0,,A,
polystyrene,1583,,[] ring,1,"Nava2021(1583, +0)",0.0,,A,
polystyrene,1602,Y,[bold and Boke] ring C=C,2,"Nava2021(1602, +0); Boke2022(1603, -1)",1.0,ring skeletal stretch [Nava2021; Boke2022 1603],A,
polystyrene,2854,,[] -,1,"Nava2021(2854, +0)",0.0,,A,
polystyrene,2904,,[] -,1,"Nava2021(2904, +0)",0.0,,A,
polystyrene,3054,Y,[bold] aromatic CH,1,"Nava2021(3054, +0)",0.0,,A,
acrylonitrile_copolymer,2240,Y,C-N nitrile (indicates the group only; species undetermined),2,"Lenz2015(2236, +4); Nava2021(2240, +0)",4.0,"nitrile C-N [Nava2021 Table II, ABS 2240 (strongest), PAN 2237]",A,
acrylonitrile_copolymer,1001,,ring breathing (promotes to SAN/ABS when styrene is also present),2,"Lenz2015(1001, +0); Nava2021(1002, -1)",1.0,,A,
acrylonitrile_copolymer,1602,,ring C=C (confirms accompanying styrene),2,"Lenz2015(1602, +0); Nava2021(1603, -1)",1.0,,A,
polyester_PET,278,,[] -,1,"Nava2021(278, +0)",0.0,,A,
polyester_PET,626,Y,[ and Boke] C-O,2,"Nava2021(626, +0); Boke2022(632, -6)",6.0,,A,
polyester_PET,701,,[] -,1,"Nava2021(701, +0)",0.0,,A,
polyester_PET,800,,[] -,1,"Nava2021(800, +0)",0.0,,A,
polyester_PET,857,Y,[ and Boke] ring - within 4 cm-1 of weathered LDPE 853; as PET's exclusive band this risks a spurious exclusive match,2,"Nava2021(857, +0); Boke2022(857, +0)",0.0,"Ag mode, ring CC + C(O)-O stretch [Nava2021 p.1349-50, 857]",A,
polyester_PET,950,,[] -,1,"Nava2021(950, +0)",0.0,,A,
polyester_PET,1000,,[] -,1,"Nava2021(1000, +0)",0.0,,A,
polyester_PET,1096,,[] C-O,1,"Nava2021(1096, +0)",0.0,,A,
polyester_PET,1119,,[] ring,1,"Nava2021(1119, +0)",0.0,,A,
polyester_PET,1192,,[] -,1,"Nava2021(1192, +0)",0.0,,A,
polyester_PET,1295,Y,[ and Boke] ring,2,"Nava2021(1295, +0); Boke2022(1287, +8)",8.0,"ester C(O)-O vibration [Nava2021 1295; Boke2022 Fig.2d 1287, delta 8 borderline]. Value taken from Nava throughout, which puts it at delta 0 from PE 1295",A,
polyester_PET,1310,,[] -  [sh] shoulder - risk of a false negative in peak detection,1,"Nava2021(1310, +0)",0.0,,A,
polyester_PET,1418,,[] ring,1,"Nava2021(1418, +0)",0.0,,A,
polyester_PET,1462,,[] -,1,"Nava2021(1462, +0)",0.0,,A,
polyester_PET,1615,Y,[bold and Boke] aromatic C-C,3,"Lenz2015(1616, -1); Nava2021(1615, +0); Boke2022(1614, +1)",1.0,aromatic ring vibration - present in Raman but not IR [Boke2022 Fig.2d 1614],A,
polyester_PET,1730,Y,[bold and Boke] C=O ester,2,"Nava2021(1730, +0); Boke2022(1725, +5)",5.0,C=O carbonyl stretch [Nava2021 1730; Boke2022 1725],A,
polyester_PET,2912,,[] -,1,"Nava2021(2912, +0)",0.0,,A,
polyester_PET,2968,,[] -,1,"Nava2021(2968, +0)",0.0,,A,
polyester_PET,3085,,[] aromatic CH,1,"Nava2021(3085, +0)",0.0,,A,
PVC,310,,[] -,1,"Nava2021(310, +0)",0.0,,A,
PVC,345,,[] -  [sh] shoulder - risk of a false negative in peak detection,1,"Nava2021(345, +0)",0.0,,A,
PVC,363,Y,[bold and Boke] C-Cl skeletal,2,"Nava2021(363, +0); Boke2022(362, +1)",1.0,,A,
PVC,420,,[] -,1,"Nava2021(420, +0)",0.0,,A,
PVC,496,,[] -,1,"Nava2021(496, +0)",0.0,,A,
PVC,544,,[] -,1,"Nava2021(544, +0)",0.0,,A,
PVC,571,,[] -,1,"Nava2021(571, +0)",0.0,,A,
PVC,599,,[] -,1,"Nava2021(599, +0)",0.0,,A,
PVC,615,,[] -,1,"Nava2021(615, +0)",0.0,,A,
PVC,638,Y,[bold and Boke] C-Cl,4,"Lenz2015(637, +1); Nava2021(638, +0); Boke2022(636, +2); Araujo2018(637, +1)",2.0,C-Cl stretch [Nava2021 p.1351; Boke2022 636; Araujo2018 637],A,
PVC,682,,[] -,1,"Nava2021(682, +0)",0.0,,A,
PVC,694,Y,[bold and Boke] C-Cl,4,"Lenz2015(693, +1); Nava2021(694, +0); Boke2022(695, -1); Araujo2018(693, +1)",1.0,C-Cl stretch [Nava2021 694; Boke2022 695/696; Araujo2018 693],A,
PVC,752,,[] -,1,"Nava2021(752, +0)",0.0,,A,
PVC,838,,[] -,1,"Nava2021(838, +0)",0.0,,A,
PVC,930,,[] -,1,"Nava2021(930, +0)",0.0,,A,
PVC,964,,[] -,1,"Nava2021(964, +0)",0.0,,A,
PVC,972,,[] -,1,"Nava2021(972, +0)",0.0,,A,
PVC,1066,,[] -,1,"Nava2021(1066, +0)",0.0,,A,
PVC,1101,,[] -,1,"Nava2021(1101, +0)",0.0,,A,
PVC,1119,,[] -,1,"Nava2021(1119, +0)",0.0,,A,
PVC,1172,,[] C-C,1,"Nava2021(1172, +0)",0.0,,A,
PVC,1187,,[] -,1,"Nava2021(1187, +0)",0.0,,A,
PVC,1216,,[] -,1,"Nava2021(1216, +0)",0.0,,A,
PVC,1257,,[] -,1,"Nava2021(1257, +0)",0.0,,A,
PVC,1316,,[] -,1,"Nava2021(1316, +0)",0.0,,A,
PVC,1335,,[] -,1,"Nava2021(1335, +0)",0.0,,A,
PVC,1357,,[] -,1,"Nava2021(1357, +0)",0.0,,A,
PVC,1379,,[] -,1,"Nava2021(1379, +0)",0.0,,A,
PVC,1430,Y,[bold and Boke] CH2 bend,2,"Nava2021(1430, +0); Boke2022(1437, -7)",7.0,,A,
PVC,1437,Y,[ and Boke] CH2 bend,2,"Nava2021(1437, +0); Boke2022(1437, +0)",0.0,methylene group [Boke2022 1437; Nava2021 1437],A,
PVC,1498,,[] -,1,"Nava2021(1498, +0)",0.0,,A,
PVC,2914,Y,[bold] CH stretch,2,"Lenz2015(2919, -5); Nava2021(2914, +0)",5.0,,A,
PVC,2935,Y,[bold] CH2 asym stretch,1,"Nava2021(2935, +0)",0.0,,A,
PVC,2969,,[] -,1,"Nava2021(2969, +0)",0.0,,A,
PVC,2994,,[] -,1,"Nava2021(2994, +0)",0.0,,A,
nylon_PA,1063,,C-C,1,"Nava2021(1063, +0)",0.0,,A,
nylon_PA,1128,,C-C,1,"Nava2021(1128, +0)",0.0,,A,
nylon_PA,1280,Y,amide III,1,"Nava2021(1283, -3)",3.0,"amide III (C-N stretch + N-H bend), specific to NY6 - the main difference from nylon66 [Nava2021 p.1351, 1283]",A,
nylon_PA,1306,,CH2 twist,1,"Nava2021(1310, -4)",4.0,,A,
nylon_PA,1440,Y,CH2 bend,1,"Nava2021(1440, +0)",0.0,,A,
nylon_PA,1635,Y,amide I (C=O),1,"Nava2021(1636, -1)",1.0,"amide I (mainly C=O stretch) [Nava2021 p.1350, 1636]",A,
nylon_PA,2900,,CH stretch,1,"Nava2021(2900, +0)",0.0,,A,
nylon_PA,3300,Y,N-H stretch,2,"Lenz2015(3306, -6); Nava2021(3302, -2)",6.0,"N-H stretch [Nava2021 p.1350, 3302]",A,
carbonate_calcite,156,,lattice,1,"DeLaPierre2014_main(154.9, +1.1)",1.0999999999999943,,A,
carbonate_calcite,282,Y,lattice (calcite),2,"DeLaPierre2014_main(281.2, +0.8); Buzgar2009(285, -3)",3.0,"Eg lattice, T(Ca,CO3) [DeLaPierre2014 powder 300K 281.2; Buzgar2009 285]",A,
carbonate_calcite,712,Y,nu4 in-plane bend (single line),2,"DeLaPierre2014_main(712.4, -0.4); Buzgar2009(715, -3)",3.0,"Eg, nu4 in-plane bend as a single line - in contrast to the 701.8/706.1 doublet of aragonite. [DeLaPierre2014 powder 300K 712.4; Buzgar2009 715]",A,
carbonate_calcite,1086,Y,nu1 sym stretch (very strong),2,"DeLaPierre2014_main(1086.2, -0.2); Buzgar2009(1087, -1)",1.0,"A1g, nu1 CO3 symmetric stretch (strongest) [DeLaPierre2014 powder 300K 1086.2; Buzgar2009 1087]. Only 0.9 from aragonite 1085.3, so nu1 alone cannot distinguish the polymorphs",A,
carbonate_calcite,1435,,nu3,2,"DeLaPierre2014_main(1435.8, -0.8); Buzgar2009(1437, -2)",2.0,,A,
carbonate_aragonite,152,,lattice,1,"DeLaPierre2014_main(153.0, -1)",1.0,,A,
carbonate_aragonite,206,Y,lattice (aragonite),1,"DeLaPierre2014_main(206.3, -0.3)",0.30000000000001137,"B2g lattice [DeLaPierre2014 powder 300K 206.3]. Buzgar2009 did not observe this band (only five were seen), so it rests on a single source. It also collides exactly with quartz 206",A,
carbonate_aragonite,705,Y,nu4 (a single peak at this instrument's resolution; the 701/706 doublet is unresolved),2,"DeLaPierre2014_main(706.1, -1.1); Buzgar2009(701, +4)",4.0,"nu4. DeLaPierre resolves 701.8 (B3g) + 706.1 (Ag) at resolution 1.3; Buzgar smears them into a single 701.3 at resolution 3. Our point spacing of 3.10 puts us with the latter. 705 versus 701 is an open decision: 705 collides with calcite 712 (delta 7), 701 with PVC 696 (delta 5)",A,
