date,station,particle,replicate,phase,file,spec_class,confidence,is_chemical,carbonyl_index,mixed,reasons,omnic_name,hqi,validated,raman_gt,raman_conf,gt_source,support_level,support_note,B_label,B_tier,B_r,tie_break,raman_qc,qc_flagged,delta_version,ftir_pending
03.15,S1,1,1,phase1,0315S1_1.CSV,polyolefin_PP,tentative,True,0.2652559611003403,True,CH3 backbone; 1375; 998/973/840,Triethylene glycol monoethyl ether,65.8,False,,,,,,,,,,,,,
03.15,S1,10,1,phase1,0315S1_10.CSV,silicate,tentative,True,,True,"Si-O strong, no polymer backbone (sand/glass)","Analcime #1, 0.086 wt %",77.68,False,,,,,,,,,,,,,
03.15,S1,2,1,phase1,0315S1_2.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Mugo Pine,81.5,False,,,,,,,,,,,,,
03.15,S1,3,1,phase1,0315S1_3.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Dandelion,84.77,False,,,,,,,,,,,,,
03.15,S1,4,1,phase1,0315S1_4.CSV,polyolefin_PP,tentative,True,2.036491482910465,True,CH3 backbone; 1375; 998/973/840; weathered->cap,Carrot Seeds,65.95,False,,,,,,,,,,,,,
03.15,S1,5,1,phase1,0315S1_5.CSV,carbonate_calcite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Mugo Pine,77.83,False,,,,,,,,,,,,,
03.15,S1,6,1,phase1,0315S1_6.CSV,carbonate_aragonite,tentative,True,,False,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Mugo Pine,81.5,False,,,,,,,,,,,,,
03.15,S1,7,1,phase1,0315S1_7.CSV,polyolefin_unresolved,tentative,True,0.35467691348954067,True,partial CH2 fingerprint + carbonyl (CI 0.35): PE/PP not separable; Raman-required,,,False,,,,,,,,,,,,,
03.15,S1,8,1,phase1,0315S1_8.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,Paromomycin sulfate,64.21,False,,,,,,,,,,,,,
03.15,S1,9,1,phase1,0315S1_9.CSV,silicate,tentative,True,,True,"Si-O strong, no polymer backbone (sand/glass)","Analcime #1, 0.086 wt %",79.0,False,,,,,,,,,,,,,
03.15,S2,1,1,phase1,0315S2_1.CSV,polyolefin_unresolved,tentative,True,0.2127618008230951,True,"aliphatic CH, no clean PE/PP doublet; possible Si-O shoulder","Poly(bisphenol a-co-epichlorohydrin), glycidyl end-capped, a",85.51,False,,,,,,,,,,,,,
03.15,S2,2,1,phase1,0315S2_2.CSV,silicate,tentative,True,,True,"Si-O strong, no polymer backbone (sand/glass)",Newsprint (black ink),83.8,False,,,,,,,,,,,,,
03.15,S2,3,1,phase1,0315S2_3.CSV,silicate,tentative,True,,True,"Si-O strong, no polymer backbone (sand/glass)",Red Pepper Seed,65.11,False,,,,,,,,,,,,,
03.15,S3,1,1,phase1,0315S3_1.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Saponite,92.25,False,,,,,,,,,,,,,
03.16,S1,1,1,phase1,0316S1_1.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Hoover 512-BU,84.11,False,,,,,,,,,,,,,
03.16,S1,10,1,phase1,0316S1_10.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)","Formaldehyde, 37 wt.% solution in water",77.61,False,,,,,,,,,,,,,
03.16,S1,2,1,phase1,0316S1_2.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Hoover 512-BU,78.75,False,,,,,,,,,,,,,
03.16,S1,3,1,phase1,0316S1_3.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Licorice Root,68.06,False,,,,,,,,,,,,,
03.16,S1,4,1,phase1,0316S1_4.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Felly's Professional Mix Topsoil,75.47,False,,,,,,,,,,,,,
03.16,S1,5,1,phase1,0316S1_5.CSV,carbonate_calcite,tentative,True,,True,"carbonate 1420/875; polymorph provisionally split by 855, not verified by Raman",Felly's Professional Mix Topsoil,76.28,False,,,,,,,,,,,,,
03.16,S1,6,1,phase1,0316S1_6.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Newsprint (color ink),79.62,False,,,,,,,,,,,,,
03.16,S1,7,1,phase1,0316S1_7.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Mugo Pine,77.06,False,,,,,,,,,,,,,
03.16,S1,8,1,phase1,0316S1_8.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Mugo Pine,80.1,False,,,,,,,,,,,,,
03.16,S1,9,1,phase1,0316S1_9.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Felly's Professional Mix Topsoil,81.95,False,,,,,,,,,,,,,
03.16,S2,1,1,phase1,0316S2_1.CSV,silicate,tentative,True,,True,"Si-O strong, no polymer backbone (sand/glass)",Felly's Professional Mix Topsoil,76.49,False,,,,,,,,,,,,,
03.16,S2,2,1,phase1,0316S2_2.CSV,silicate,tentative,True,,True,"Si-O strong, no polymer backbone (sand/glass)",Red Pepper Seed,80.76,False,,,,,,,,,,,,,
03.16,S2,3,1,phase1,0316S2_3.CSV,mineral_or_unresolved,unresolved,False,,False,weak Si-O only; ambiguous C-O region,Felly's Professional Mix Topsoil,76.28,False,,,,,,,,,,,,,
03.16,S3,1,1,phase1,0316S3_1.CSV,silicate,tentative,True,,False,"Si-O strong, no polymer backbone (sand/glass)",Saponite,93.0,False,,,,,,,,,,,,,
03.27,S1,1,1,phase1,0327S1_1.CSV,unresolved,unresolved,False,,False,no diagnostic band pattern,"Cement, cured",64.93,False,,,,,,,,,,,,,
03.27,S1,2,1,phase1,0327S1_2.CSV,PVDF,confident,True,,True,C-F 1402/1180/876,Polyblend Ceramic Tile Caulk (cured),79.06,False,,,,,,,,,,,,,
03.27,S1,3,1,phase1,0327S1_3.CSV,unresolved,unresolved,False,,False,no diagnostic band pattern,Plumber's Putty,73.03,False,,,,,,,,,,,,,
