date,station,particle,replicate,file,phase,batch,raman_gt,raman_conf,gt_source,support_level,withheld,tie_break,B_label,B_r,spec_class,omnic_name,hqi,openspecy_name,openspecy_match_val,ml_name,ml_prob,simple_name,simple_score,confidence,carbonyl_index,openspecy_material_class,openspecy_plastic,openspecy_top3,openspecy_status,ml_status
05.17,S1,1,1,0517S1_1.CSV,phase1,train,polyolefin_PE,confident,rule,A+,False,False,polyolefin_PE,0.981,polyolefin_PE,Duct tape (Back side),94.05,pe,0.89781637752485,poly(ethylene),0.994721045748674,polyethylene_high_density,0.960123905182643,tentative,0.0849517232404695,poly(ethylene),plastic,pe (0.90) | pe (0.90) | pe (0.90),hit,hit
06.07,S1,12,1,0607S1-12.CSV,phase2,train,polyolefin_PE,tentative,rule,A,False,False,polyolefin_PE,0.972,polyolefin_PE,Duct tape (Back side),98.97,hdpe,0.907084117862584,poly(ethylene),0.957895711024661,polyethylene_high_density,0.996125676518961,tentative,0.0442708881487769,poly(ethylene),plastic,hdpe (0.91) | pe (0.91) | ldpe (0.91),hit,hit
06.07,S1,5,1,0607S1-5.CSV,phase2,train,polyolefin_PP,confident,rule,A+,False,False,polyolefin_PP,0.956,polyolefin_PP,Polypropylene isotactic,94.63,pp,0.841494866071873,poly(propylene),0.920991233503006,polypropylene,0.992873825582331,confident,0.0889213093263189,poly(propylene),plastic,pp (0.84) | pp (0.84) | pp (0.84),hit,hit
06.14,S1,1,1,0614S1-1.CSV,phase2,train,polyolefin_PP,confident,rule,A+,False,False,polyolefin_PP,0.972,polyolefin_PP,"Polypropylene, isotactic",93.61,pp,0.847501901637962,poly(propylene),0.910677243213279,polypropylene,0.974800221432039,confident,0.1066083602322767,poly(propylene),plastic,pp (0.85) | pp (0.85) | pp (0.85),hit,hit
06.14,S1,3,1,0614S1-3.CSV,phase2,train,polyolefin_PE,tentative,rule,A,False,False,polyolefin_PE,0.842,polyolefin_PE,Duct tape (Back side),94.06,eps,0.878948681368608,poly(ethylene),0.969386802993457,polyethylene_high_density,0.904334182813306,tentative,0.1085375099241679,"polystyrenes (polyphenylethylenes, -methylstyrene)",plastic,eps (0.88) | pe (0.88) | pe (0.88),hit,hit
06.26,S1,1,1,0626S1-1.CSV,phase2,train,polyolefin_PE,tentative,rule,B,False,False,polyolefin_PE,0.052,polyolefin_PE,Duct tape (Back side),96.59,hdpe,0.888062578412228,poly(ethylene),0.978839203015543,polyethylene_high_density,0.969988632669877,tentative,0.1885599959203335,poly(ethylene),plastic,hdpe (0.89) | hdpe (0.89) | hdpe (0.89),hit,hit
06.26,S1,10,1,0626S1-10.CSV,phase2,train,polyolefin_PE,tentative,rule,A,False,False,polyolefin_PE,0.962,polyolefin_PE,Duct tape (Back side),97.74,pe,0.895392104037626,poly(ethylene),0.950534315321052,polyethylene_high_density,0.98782955899847,tentative,0.1094164303701407,poly(ethylene),plastic,pe (0.90) | pe (0.89) | pe (0.89),hit,hit
06.26,S1,11,1,0626S1-11.CSV,phase2,train,polyolefin_PP,confident,rule,A+,False,False,polyolefin_PP,0.926,polyolefin_PP,"Polypropylene, isotactic",78.46,pp,0.796683614388199,poly(propylene),0.835796200328714,polypropylene,0.802637974878746,confident,0.0718329064401104,poly(propylene),plastic,pp (0.80) | eps (0.79) | pe (0.79),hit,hit
06.26,S1,12,1,0626S1-12.CSV,phase2,train,polyolefin_PE,tentative,rule,C,False,False,natural_organic,0.373,polyolefin_PE,Duct tape (Back side),97.8,pe,0.894479079587576,poly(ethylene),0.964998850278041,polyethylene_high_density,0.976572810515136,tentative,0.0403870118144827,poly(ethylene),plastic,pe (0.89) | pe (0.89) | pe (0.89),hit,hit
06.26,S1,2,1,0626S1-2.CSV,phase2,train,polyolefin_PE,tentative,rule,A,False,False,polyolefin_PE,0.936,polyolefin_PE,Duct tape (Back side),96.91,hdpe,0.890741751559012,poly(ethylene),0.971077199135137,polyethylene_high_density,0.978135323228641,tentative,0.1589073154399624,poly(ethylene),plastic,hdpe (0.89) | ldpe (0.89) | hdpe (0.89),hit,hit
06.26,S1,3,1,0626S1-3.CSV,phase2,train,polyolefin_PP,confident,rule,A+,False,False,polyolefin_PP,0.968,polyolefin_PP,"Polypropylene, isotactic, average MW ca. 250,000",77.46,(04) pp,0.72368588486701,poly(propylene),0.872096672906627,polypropylene,0.843715031914287,confident,0.1343017731554283,poly(propylene),plastic,(04) pp (0.72) | pe (0.72) | eps (0.71),hit,hit
06.26,S1,4,1,0626S1-4.CSV,phase2,train,polyolefin_PE,confident,rule,A+,False,False,polyolefin_PE,0.802,polyolefin_PE,Duct tape (Back side),96.8,pe,0.884320501992424,poly(ethylene),0.979366489676188,polyethylene_high_density,0.971981671730221,tentative,0.094955441068785,poly(ethylene),plastic,pe (0.88) | pe (0.88) | pe (0.88),hit,hit
06.26,S1,7,1,0626S1-7.CSV,phase2,train,polyolefin_PE,tentative,rule,B,False,False,polyolefin_PE,-0.009,polyolefin_PE,Duct tape (Back side),95.81,pe,0.89114067605926,poly(ethylene),0.992013863604455,polyethylene_high_density,0.965570861769344,tentative,0.068710826484562,poly(ethylene),plastic,pe (0.89) | pe (0.89) | pe (0.89),hit,hit
06.26,S1,9,1,0626S1-9.CSV,phase2,train,polyolefin_PE,tentative,rule,A,False,False,polyolefin_PE,0.932,polyolefin_unresolved,Duct tape (Back side),96.88,pe,0.880758737857883,poly(ethylene),0.947148710857879,polyethylene_high_density,0.964421967888831,tentative,0.0635428233762893,poly(ethylene),plastic,pe (0.88) | pe (0.88) | pe (0.88),hit,hit
06.28,S1,1,1,0628S1-1.CSV,phase2,train,polyolefin_PE,tentative,rule,B,False,False,polyolefin_PE,0.095,polyolefin_PE,Blue Spruce,71.04,pe 30. black fragment,0.724418847578191,poly(ethylene),0.810336417153803,algae_fucus_serratus,0.706214728691247,tentative,0.0617896263882506,poly(ethylene),plastic,pe 30. black fragment (0.72) | (05) ps (0.71) | (05) ps (0.71),hit,hit
